"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1548","testFindByCognitoSub_ReturnsEmpty_WhenNotExists()","","Fri Nov 07 00:08:17 IST 2025","passed","Fri Nov 07 00:08:19 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testFindByCognitoSub_ReturnsEmpty_WhenNotExists"
"","4155","logEvent_WithUserId_SavesSuccessfully()","","Fri Nov 07 00:08:43 IST 2025","passed","Fri Nov 07 00:08:47 IST 2025","","com.itcenter.auth.unit.AuditServiceTest","com.itcenter.auth.unit.AuditServiceTest","logEvent_WithUserId_SavesSuccessfully"
"","106","testGetMe_WithValidJWT_Returns200()","","Fri Nov 07 00:08:03 IST 2025","passed","Fri Nov 07 00:08:03 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testGetMe_WithValidJWT_Returns200"
"","4398","should inject axe-core via CDN and assert no critical violations on Dashboard","Accessibility Smoke Tests","Fri Nov 07 00:20:31 IST 2025","passed","Fri Nov 07 00:20:35 IST 2025","","","",""
"","2269","testExistsByName_ReturnsFalse_WhenNotExists()","","Fri Nov 07 00:08:34 IST 2025","passed","Fri Nov 07 00:08:36 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testExistsByName_ReturnsFalse_WhenNotExists"
"","2287","testFindByName_ReturnsEmpty_WhenNotExists()","","Fri Nov 07 00:08:29 IST 2025","passed","Fri Nov 07 00:08:32 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testFindByName_ReturnsEmpty_WhenNotExists"
"","122","testUpdateUserRoles_WithoutAuth_Returns401()","","Fri Nov 07 00:07:57 IST 2025","passed","Fri Nov 07 00:07:57 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_WithoutAuth_Returns401"
"","49","updateUserRoles_NullAndBlankRoles_Ignored()","","Fri Nov 07 00:08:54 IST 2025","passed","Fri Nov 07 00:08:54 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_NullAndBlankRoles_Ignored"
"","1486","testExistsByName_ReturnsTrue_WhenExists()","","Fri Nov 07 00:08:36 IST 2025","passed","Fri Nov 07 00:08:38 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testExistsByName_ReturnsTrue_WhenExists"
"","20574","should open user detail page from users list","User Role Management","Fri Nov 07 00:22:27 IST 2025","broken","Fri Nov 07 00:22:47 IST 2025","","","",""
"","8643","should bypass Cognito login with pre-seeded token and reach dashboard","Login Flow","Fri Nov 07 00:21:23 IST 2025","passed","Fri Nov 07 00:21:31 IST 2025","","","",""
"","42","logEvent_WithAppUser_SavesSuccessfully()","","Fri Nov 07 00:08:48 IST 2025","passed","Fri Nov 07 00:08:48 IST 2025","","com.itcenter.auth.unit.AuditServiceTest","com.itcenter.auth.unit.AuditServiceTest","logEvent_WithAppUser_SavesSuccessfully"
"","457","should have proper page title","Accessibility Smoke Tests","Fri Nov 07 00:20:35 IST 2025","passed","Fri Nov 07 00:20:36 IST 2025","","","",""
"","1923","testExistsByEmail_ReturnsFalse_WhenNotExists()","","Fri Nov 07 00:08:19 IST 2025","passed","Fri Nov 07 00:08:20 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testExistsByEmail_ReturnsFalse_WhenNotExists"
"","3333","testUpdateMe_UpdatesProfileSuccessfully()","","Fri Nov 07 00:07:58 IST 2025","passed","Fri Nov 07 00:08:01 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateMe_UpdatesProfileSuccessfully"
"","1713","testSaveUser_Success()","","Fri Nov 07 00:08:12 IST 2025","passed","Fri Nov 07 00:08:13 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testSaveUser_Success"
"","53","updateUserRoles_NormalizesRoleNames()","","Fri Nov 07 00:08:54 IST 2025","passed","Fri Nov 07 00:08:54 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_NormalizesRoleNames"
"","123","testUpdateUserRoles_RequiresAdminRole_Returns403()","","Fri Nov 07 00:07:57 IST 2025","passed","Fri Nov 07 00:07:57 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_RequiresAdminRole_Returns403"
