"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","testExistsByName_ReturnsTrue_WhenExists()","","Mon Nov 03 09:05:10 IST 2025","broken","Mon Nov 03 09:05:10 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testExistsByName_ReturnsTrue_WhenExists"
"","10","getClientIp_ExtractsCorrectIp()","","Mon Nov 03 09:05:13 IST 2025","passed","Mon Nov 03 09:05:13 IST 2025","","com.itcenter.auth.unit.AuditServiceTest","com.itcenter.auth.unit.AuditServiceTest","getClientIp_ExtractsCorrectIp"
"","44","testUpdateUserRoles_UnknownRole_Returns400()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_UnknownRole_Returns400"
"","2235","logEvent_WithUserId_SavesSuccessfully()","","Mon Nov 03 09:05:10 IST 2025","passed","Mon Nov 03 09:05:12 IST 2025","","com.itcenter.auth.unit.AuditServiceTest","com.itcenter.auth.unit.AuditServiceTest","logEvent_WithUserId_SavesSuccessfully"
"","72","updateProfile_EmptyStrings_NoChange()","","Mon Nov 03 09:05:20 IST 2025","passed","Mon Nov 03 09:05:20 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_EmptyStrings_NoChange"
"","2","testExistsByName_ReturnsFalse_WhenNotExists()","","Mon Nov 03 09:05:10 IST 2025","broken","Mon Nov 03 09:05:10 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testExistsByName_ReturnsFalse_WhenNotExists"
"","42","updateUserRoles_NormalizesRoleNames()","","Mon Nov 03 09:05:20 IST 2025","passed","Mon Nov 03 09:05:20 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_NormalizesRoleNames"
"","2","testSaveRole_Success()","","Mon Nov 03 09:05:10 IST 2025","broken","Mon Nov 03 09:05:10 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testSaveRole_Success"
"","30433","should open Users page and list users","User Role Management","Mon Nov 03 09:09:03 IST 2025","broken","Mon Nov 03 09:09:34 IST 2025","","","",""
"","13","testExistsByEmail_ReturnsFalse_WhenNotExists()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testExistsByEmail_ReturnsFalse_WhenNotExists"
